Цахилгаан тогоо ширэмэн 30-р	1	50000.0	50000.0	5000.0	14400.0	2019.2.1
Цахилгаан хил жижиг	2	55000.0	110000.0	11000.0	32670.0	2019.2.1
Ширэмтэй никел тогоо 40-р	1	90000.0	90000.0	9000.0	25920.0	2019.2.1
Тоос сорогч 1500W	1	200000.0	200000.0	20000.0	52200.0	2019.2.1
5-хос набор	1	50000.0	50000.0	5000.0	14400.0	2019.2.1
Гурвалжин 5-тасалгаатай тавиур	1	60000.0	60000.0	6000.0	17280.0	2019.2.1
Цахилгаан тогоо ширэмэн 38-р	1	58000.0	58000.0	5800.0	15660.0	2019.2.1
Индүү жижиг	1	45000.0	45000.0	4500.0	12960.0	2019.2.1
Талх шарагч	1	45000.0	45000.0	4500.0	14175.000000000002	2019.2.1
Хананд өлгөх зураг	2	5500.0	11000.0	1100.0	3069.0	2019.2.1
Жигнүүртэй никл тогоо 32-р	1	39000.0	39000.0	3900.0	12285.000000000002	2019.2.1
Ширэмтэй никел тогоо 40-р	1	90000.0	90000.0	9000.0	27540.000000000004	2019.2.2
Олон үйлдэлт тогоо 	1	180000.0	180000.0	18000.0	48600.0	2019.2.2
Цахилгаан тогоо 28-р	2	28000.0	56000.0	5600.0	15120.0	2019.2.2
Никел түмпэн 40-р	3	22000.0	66000.0	6600.0	19602.0	2019.2.2
Жигнүүртэй никл тогоо 34-р	1	41000.0	41000.0	4100.0	11070.0	2019.2.2
Тоос сорогч 2500W	1	250000.0	250000.0	25000.0	74250.0	2019.2.2
Ус буцалгагч	2	56000.0	112000.0	11200.0	29231.999999999996	2019.2.2
Зургийн жааз A4	1	5000.0	5000.0	500.0	1305.0	2019.2.3
Жигнүүртэй никл тогоо 32-р	1	39000.0	39000.0	3900.0	11934.0	2019.2.3
5-иж бүрдэл цайны ком	1	57000.0	57000.0	5700.0	17442.0	2019.2.3
Никел түмпэн 40-р	2	22000.0	44000.0	4400.0	11484.0	2019.2.3
3-л төмөр халуун сав	1	18000.0	18000.0	1800.0	5508.0	2019.2.3
5-хос набор	1	50000.0	50000.0	5000.0	13950.0	2019.2.3
Автомат талх баригч	1	180000.0	180000.0	18000.0	50220.0	2019.2.3
Ширээний хултааз	19	8500.0	161500.0	16150.0	47965.5	2019.2.3
Төмөр хувин	1	15000.0	15000.0	1500.0	4455.0	2019.2.3
Жигнүүртэй никл тогоо 30-р	1	37000.0	37000.0	3700.0	9990.0	2019.2.3
Ширэмтэй никел тогоо 32-р	1	70000.0	70000.0	7000.0	18270.0	2019.2.3
Тоос сорогч 1500W	1	200000.0	200000.0	20000.0	57600.0	2019.2.3
